time,ax,
04:39:30,279.5,
04:40:00,280,
04:40:30,280.5,
04:41:00,281,
04:41:30,281.5,
04:42:00,282,
04:42:30,282.5,
04:43:00,283,
04:43:30,283.5,
04:44:00,284,
04:44:30,284.5,
04:45:00,285,
04:45:30,285.5,
04:46:00,286,
04:46:30,286.5,
04:47:00,287,
04:47:30,287.5,
04:48:00,288,
04:48:30,288.5,
04:49:00,289,
04:49:30,289.5,
04:50:00,290,
04:50:30,290.5,
04:51:00,291,
04:51:30,291.5,
04:52:00,292,
04:52:30,292.5,
04:53:00,293,
04:53:30,293.5,
04:54:00,294,
04:54:30,294.5,
04:55:00,295,
04:55:30,295.5,
04:56:00,296,
04:56:30,296.5,
04:57:00,297,
04:57:30,297.5,
04:58:00,298,
04:58:30,298.5,
04:59:00,299,
04:59:30,299.5,
05:00:00,300,
05:00:30,300.5,
05:01:00,301,
05:01:30,301.5,
05:02:00,302,
05:02:30,302.5,
05:03:00,303,
05:03:30,303.5,
05:04:00,304,
05:04:30,304.5,
05:05:00,305,
05:05:30,305.5,
05:06:00,306,
05:06:30,306.5,
05:07:00,307,
05:07:30,307.5,
05:08:00,308,
05:08:30,308.5,
05:09:00,309,
05:09:30,309.5,
05:10:00,310,
05:10:30,310.5,
05:11:00,311,
05:11:30,311.5,
05:12:00,312,
05:12:30,312.5,
05:13:00,313,
05:13:30,313.5,
05:14:00,314,
05:14:30,314.5,
05:15:00,315,
05:15:30,315.5,
05:16:00,316,
05:16:30,316.5,
05:17:00,317,
05:17:30,317.5,
05:18:00,318,
05:18:30,318.5,
05:19:00,319,
05:19:30,319.5,
05:20:00,320,
05:20:30,320.5,
05:21:00,321,
05:21:30,321.5,
05:22:00,322,
05:22:30,322.5,
05:23:00,323,
05:23:30,323.5,
05:24:00,324,
05:24:30,324.5,
05:25:00,325,
05:25:30,325.5,
05:26:00,326,
05:26:30,326.5,
05:27:00,327,
05:27:30,327.5,
05:28:00,328,
05:28:30,328.5,
05:29:00,329,
05:29:30,329.5,
05:30:00,330,
05:30:30,330.5,
05:31:00,331,
05:31:30,331.5,
05:32:00,332,
05:32:30,332.5,
05:33:00,333,
05:33:30,333.5,
05:34:00,334,
05:34:30,334.5,
05:35:00,335,
05:35:30,335.5,
05:36:00,336,
05:36:30,336.5,
05:37:00,337,
05:37:30,337.5,
05:38:00,338,
05:38:30,338.5,
05:39:00,339,
05:39:30,339.5,
05:40:00,340,
05:40:30,340.5,
05:41:00,341,
05:41:30,341.5,
05:42:00,342,
05:42:30,342.5,
05:43:00,343,
05:43:30,343.5,
05:44:00,344,
05:44:30,344.5,
05:45:00,345,
05:45:30,345.5,
05:46:00,346,
05:46:30,346.5,
05:47:00,347,
05:47:30,347.5,
05:48:00,348,
05:48:30,348.5,
05:49:00,349,
05:49:30,349.5,
05:50:00,350,
05:50:30,350.5,
05:51:00,351,
05:51:30,351.5,
05:52:00,352,
05:52:30,352.5,
05:53:00,353,
05:53:30,353.5,
05:54:00,354,
05:54:30,354.5,
05:55:00,355,
05:55:30,355.5,
05:56:00,356,
05:56:30,356.5,
05:57:00,357,
05:57:30,357.5,
05:58:00,358,
05:58:30,358.5,
05:59:00,359,
05:59:30,359.5,
06:00:00,360,
06:00:30,360.5,
06:01:00,361,
06:01:30,361.5,
06:02:00,362,
06:02:30,362.5,
06:03:00,363,
06:03:30,363.5,
06:04:00,364,
06:04:30,364.5,
06:05:00,365,
06:05:30,365.5,
06:06:00,366,
06:06:30,366.5,
06:07:00,367,
06:07:30,367.5,
06:08:00,368,
06:08:30,368.5,
06:09:00,369,
06:09:30,369.5,
06:10:00,370,
06:10:30,370.5,
06:11:00,371,
06:11:30,371.5,
06:12:00,372,
06:12:30,372.5,
06:13:00,373,
06:13:30,373.5,
06:14:00,374,
06:14:30,374.5,
06:15:00,375,
06:15:30,375.5,
06:16:00,376,
06:16:30,376.5,
06:17:00,377,
06:17:30,377.5,
06:18:00,378,
06:18:30,378.5,
06:19:00,379,
06:19:30,379.5,
06:20:00,380,
06:20:30,380.5,
06:21:00,381,
06:21:30,381.5,
06:22:00,382,
06:22:30,382.5,
06:23:00,383,
06:23:30,383.5,
06:24:00,384,
06:24:30,384.5,
06:25:00,385,
06:25:30,385.5,
06:26:00,386,
06:26:30,386.5,
06:27:00,387,
06:27:30,387.5,
06:28:00,388,
06:28:30,388.5,
06:29:00,389,
06:29:30,389.5,
06:30:00,390,
06:30:30,390.5,
06:31:00,391,
06:31:30,391.5,
06:32:00,392,
06:32:30,392.5,
06:33:00,393,
06:33:30,393.5,
06:34:00,394,
06:34:30,394.5,
06:35:00,395,
06:35:30,395.5,
06:36:00,396,
06:36:30,396.5,
06:37:00,397,
06:37:30,397.5,
06:38:00,398,
06:38:30,398.5,
06:39:00,399,
06:39:30,399.5,
06:40:00,400,
06:40:30,400.5,
06:41:00,401,
06:41:30,401.5,
06:42:00,402,
06:42:30,402.5,
06:43:00,403,
06:43:30,403.5,
06:44:00,404,
06:44:30,404.5,
06:45:00,405,
06:45:30,405.5,
06:46:00,406,
06:46:30,406.5,
06:47:00,407,
06:47:30,407.5,
06:48:00,408,
06:48:30,408.5,
06:49:00,409,
06:49:30,409.5,
06:50:00,410,
06:50:30,410.5,
06:51:00,411,
06:51:30,411.5,
06:52:00,412,
06:52:30,412.5,
06:53:00,413,
06:53:30,413.5,
06:54:00,414,
06:54:30,414.5,
06:55:00,415,
06:55:30,415.5,
06:56:00,416,
06:56:30,416.5,
06:57:00,417,
06:57:30,417.5,
